Face_Index,Vertex_Coordinates,Red,Green,Blue
134,"(0.721634, 5.960304, -5.882816); (0.59671, 5.975502, -6.161691); (0.575644, 6.253204, -6.102823); (0.709441, 6.24176, -5.830083)",0.8,0.8,0.8
135,"(0.793094, 5.119812, -6.055592); (0.76413, 5.400475, -5.997252); (0.861489, 5.382912, -5.705388); (0.882316, 5.100311, -5.759601)",0.8,0.8,0.8
136,"(0.861489, 5.382912, -5.705388); (0.76413, 5.400475, -5.997252); (0.740753, 5.680779, -5.939546); (0.847505, 5.665527, -5.652092)",0.8,0.8,0.8
137,"(0.713265, 4.859337, -6.403332); (0.689338, 5.14138, -6.34687); (0.793094, 5.119812, -6.055592); (0.817675, 4.837044, -6.11084)",0.8,0.8,0.8
138,"(0.90407, 4.816444, -5.812962); (0.817675, 4.837044, -6.11084); (0.793094, 5.119812, -6.055592); (0.882316, 5.100311, -5.759601)",0.8,0.8,0.8
139,"(0.793094, 5.119812, -6.055592); (0.689338, 5.14138, -6.34687); (0.654181, 5.420326, -6.285678); (0.76413, 5.400475, -5.997252)",0.8,0.8,0.8
140,"(-3.773582, 13.712479, -6.819666); (-3.808167, 13.993134, -6.8418); (-3.744776, 13.99707, -7.101186); (-3.713795, 13.716034, -7.079885)",0.8,0.8,0.8
141,"(-3.845115, 14.274132, -6.862812); (-3.77864, 14.278328, -7.122256); (-3.744776, 13.99707, -7.101186); (-3.808167, 13.993134, -6.8418)",0.8,0.8,0.8
142,"(-3.713795, 13.716034, -7.079885); (-3.744776, 13.99707, -7.101186); (-3.663595, 14.001801, -7.356709); (-3.63588, 13.72084, -7.336442)",0.8,0.8,0.8
143,"(-3.663595, 14.001801, -7.356709); (-3.691392, 14.283333, -7.376001); (-3.589103, 14.288254, -7.623886); (-3.563054, 14.007019, -7.6066)",0.8,0.8,0.8
144,"(-3.663595, 14.001801, -7.356709); (-3.744776, 13.99707, -7.101186); (-3.77864, 14.278328, -7.122256); (-3.691392, 14.283333, -7.376001)",0.8,0.8,0.8
145,"(-3.536463, 13.726616, -7.586976); (-3.63588, 13.72084, -7.336442); (-3.663595, 14.001801, -7.356709); (-3.563054, 14.007019, -7.6066)",0.8,0.8,0.8
146,"(-3.713795, 13.716034, -7.079885); (-3.63588, 13.72084, -7.336442); (-3.607919, 13.440598, -7.315208); (-3.681238, 13.435921, -7.057215)",0.8,0.8,0.8
147,"(2.60958, -0.189682, 10.161443); (2.623428, -0.36525, 9.907835); (2.856511, -0.263054, 9.851023); (2.833179, -0.053169, 10.092101)",0.8,0.8,0.8
148,"(2.409364, -0.344208, 10.241764); (2.60958, -0.189682, 10.161443); (2.586728, 0.011932, 10.400385); (2.412244, -0.173302, 10.496687)",0.8,0.8,0.8
149,"(2.833179, -0.053169, 10.092101); (2.787478, 0.191376, 10.31414); (2.586728, 0.011932, 10.400385); (2.60958, -0.189682, 10.161443)",0.8,0.8,0.8
150,"(2.383622, 0.026558, 10.711445); (2.412244, -0.173302, 10.496687); (2.586728, 0.011932, 10.400385); (2.521151, 0.2388, 10.606914)",0.8,0.8,0.8
151,"(2.623428, -0.36525, 9.907835); (2.60958, -0.189682, 10.161443); (2.409364, -0.344208, 10.241764); (2.387501, -0.470047, 9.965878)",0.8,0.8,0.8
152,"(2.409364, -0.344208, 10.241764); (2.173503, -0.453537, 10.301857); (2.137197, -0.545158, 10.019017); (2.387501, -0.470047, 9.965878)",0.8,0.8,0.8
